Accession code , Link , Experiment Type , Platform , Organism 
GSE243361 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243361 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE243360 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243360 , Expression profiling by high throughput sequencing , GPL20301 , Homo sapiens
GSE243359 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243359 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE243210 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243210 , Expression profiling by high throughput sequencing , GPL21103 , Mus musculus
GSE243101 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243101 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE242976 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242976 , Expression profiling by high throughput sequencing , GPL30209 , Homo sapiens
GSE237688 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237688 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE237687 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237687 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE237664 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237664 , Expression profiling by high throughput sequencing , GPL31136 , geoaxema_organismus)" Mus
GSE237658 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237658 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE237132 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237132 , Two or more types , GPL15520 , Homo sapiens
GSE233595 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233595 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE228283 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228283 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE228164 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228164 , Two or more types , GPL16417 , Mus musculus
GSE228014 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228014 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE226904 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226904 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE222560 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222560 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE222192 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222192 , Expression profiling by high throughput sequencing , GPL21273 , Mus musculus
GSE213397 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213397 , Two or more types , GPL11154 , Homo sapiens
GSE213387 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213387 , Expression profiling by high throughput sequencing , GPL20301 , Homo sapiens
GSE210972 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210972 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE208634 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208634 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE243175 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243175 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE243093 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243093 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE242542 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242542 , Expression profiling by high throughput sequencing , GPL19057 , Mus musculus
GSE242151 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242151 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE239585 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239585 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE235902 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235902 , Two or more types , GPL21697 , Homo sapiens
GSE226765 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226765 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE223327 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223327 , Two or more types , GPL18573 , Homo sapiens
GSE223205 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223205 , Expression profiling by high throughput sequencing , GPL30172 , Mus musculus
GSE215757 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215757 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE197495 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197495 , Two or more types , GPL18573 , Homo sapiens
GSE183943 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183943 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE183562 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183562 , Expression profiling by high throughput sequencing , GPL23479 , Mus musculus
GSE181777 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181777 , Two or more types , GPL11154 , Homo sapiens
GSE243258 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243258 , Expression profiling by high throughput sequencing , GPL28457 , Mus musculus
GSE243245 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243245 , Expression profiling by high throughput sequencing , GPL20795 , Homo sapiens
GSE243244 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243244 , Two or more types , GPL24247 , Mus musculus
GSE243108 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243108 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE242989 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242989 , Expression profiling by high throughput sequencing , GPL21273 , Mus musculus
GSE239588 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239588 , Two or more types , GPL24676 , Homo sapiens
GSE236803 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236803 , Two or more types , GPL24676 , Homo sapiens
GSE241970 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241970 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE241640 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241640 , Expression profiling by high throughput sequencing , GPL21103 , Mus musculus
GSE242812 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242812 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE241108 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241108 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE240984 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240984 , Two or more types , GPL24676 , Homo sapiens
GSE236735 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236735 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE232389 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232389 , Two or more types , GPL21697 , Homo sapiens
GSE232175 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232175 , Expression profiling by high throughput sequencing , GPL21697 , Homo sapiens
GSE229559 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229559 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE228474 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228474 , Two or more types , GPL18573 , Homo sapiens
GSE227999 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227999 , Two or more types , GPL18573 , Homo sapiens
GSE227982 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227982 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE227026 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227026 , Expression profiling by high throughput sequencing , GPL21103 , Mus musculus
GSE224155 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224155 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE223795 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223795 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE216784 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216784 , Two or more types , GPL20301 , Homo sapiens
GSE216783 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216783 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE216781 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216781 , Expression profiling by high throughput sequencing , GPL20301 , Homo sapiens
GSE215765 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215765 , Two or more types , GPL20301 , Homo sapiens
GSE211812 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211812 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE210608 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210608 , Two or more types , GPL16791 , Homo sapiens
GSE210607 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210607 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE208102 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208102 , Expression profiling by array , GPL23126 , Homo sapiens
GSE208101 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208101 , Expression profiling by array , GPL23126 , Homo sapiens
GSE207847 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207847 , Expression profiling by array , GPL23126 , Homo sapiens
GSE158019 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158019 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE143308 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143308 , Expression profiling by high throughput sequencing , GPL19057 , Mus musculus
GSE242789 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242789 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE240985 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240985 , Two or more types , GPL11154 , Homo sapiens
GSE240231 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240231 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE237029 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237029 , Expression profiling by array , GPL570 , Homo sapiens
GSE234513 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234513 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE232822 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232822 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE232821 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232821 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE232818 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232818 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE232817 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232817 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE230453 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230453 , Expression profiling by high throughput sequencing , GPL21697 , Homo sapiens
GSE229014 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229014 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE225068 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225068 , Expression profiling by high throughput sequencing , GPL30173 , Homo sapiens
GSE225005 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225005 , Expression profiling by array , GPL23159 , Homo sapiens
GSE224045 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224045 , Two or more types , GPL18573 , Homo sapiens
GSE220166 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220166 , Two or more types , GPL24676 , Homo sapiens
GSE217378 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217378 , Two or more types , GPL21103 , Mus musculus
GSE216346 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216346 , Two or more types , GPL18573 , Homo sapiens
GSE216345 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216345 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE215994 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215994 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE214432 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214432 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE205293 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205293 , Two or more types , GPL29480 , Homo sapiens
GSE205281 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205281 , Expression profiling by high throughput sequencing , GPL29480 , Homo sapiens
GSE202723 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202723 , Two or more types , GPL24676 , Homo sapiens
GSE201771 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201771 , Two or more types , GPL16791 , Homo sapiens
GSE201770 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201770 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE155527 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155527 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE242782 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242782 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE242700 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242700 , Expression profiling by high throughput sequencing , GPL26853 , Gallus gallus
GSE242538 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242538 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE239960 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239960 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE234803 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234803 , Expression profiling by high throughput sequencing , GPL16417 , Two or more organisms
GSE234801 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234801 , Expression profiling by high throughput sequencing , GPL16417 , Mus musculus
GSE234800 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234800 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE234728 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234728 , Two or more types , GPL17021 , Mus musculus
GSE234725 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234725 , Expression profiling by high throughput sequencing , GPL17021 , Mus musculus
GSE234517 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234517 , Two or more types , GPL24247 , Mus musculus
GSE234220 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234220 , Expression profiling by array , GPL16699 , Homo sapiens
GSE233796 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233796 , Two or more types , GPL18573 , Two or more organisms
GSE233383 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233383 , Expression profiling by high throughput sequencing , GPL24247 , Two or more organisms
GSE225375 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225375 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE224988 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224988 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE224546 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224546 , Expression profiling by high throughput sequencing , GPL20301 , Homo sapiens
GSE224317 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224317 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE224266 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224266 , Expression profiling by high throughput sequencing , GPL16791 , Homo sapiens
GSE224106 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224106 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE222207 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222207 , Expression profiling by high throughput sequencing , GPL28038 , Homo sapiens
GSE217190 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217190 , Expression profiling by high throughput sequencing , GPL21290 , Homo sapiens
GSE216928 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216928 , Expression profiling by high throughput sequencing , GPL21273 , Mus musculus
GSE216425 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216425 , Expression profiling by high throughput sequencing , GPL19057 , Mus musculus
GSE215980 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215980 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE214294 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214294 , Expression profiling by high throughput sequencing , GPL21103 , Mus musculus
GSE213306 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213306 , Two or more types , GPL24676 , Homo sapiens
GSE213038 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213038 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE212759 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212759 , Expression profiling by high throughput sequencing , GPL23934 , Homo sapiens
GSE212209 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212209 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE211214 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211214 , Two or more types , GPL18573 , Two or more organisms
GSE211213 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211213 , Expression profiling by high throughput sequencing , GPL18573 , Two or more organisms
GSE210803 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210803 , Expression profiling by high throughput sequencing , GPL20301 , Homo sapiens
GSE209570 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209570 , Expression profiling by high throughput sequencing , GPL30173 , Homo sapiens
GSE242998 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242998 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
GSE242889 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242889 , Expression profiling by high throughput sequencing , GPL24676 , Homo sapiens
GSE242790 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242790 , Two or more types , GPL24676 , Homo sapiens
GSE242756 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242756 , Two or more types , GPL18573 , Homo sapiens
GSE242690 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242690 , Expression profiling by high throughput sequencing , GPL18573 , Homo sapiens
GSE242689 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242689 , Expression profiling by high throughput sequencing , GPL33053 , lupus familiaris
GSE242662 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242662 , Expression profiling by high throughput sequencing , GPL24247 , Mus musculus
